time,CO,NO2,SO2
12-Feb,0.448994259,47.81178161,17.18534483
12-Mar,0.390573777,46.86338798,14.57923497
12-Apr,0.284261846,29.75487465,5.873259053
12-May,0.261559146,33.98655914,4.237903226
12-Jun,0.222829136,29.42997199,3.401960784
12-Jul,0.220838976,29.88362652,2.872801083
12-Aug,0.227150542,30.81451613,1.431451613
12-Sep,0.246433572,33.41958042,1.998601399
12-Oct,0.327822587,47.62768817,4.622311828
12-Nov,0.387621703,42.85952712,11.34770515
12-Dec,0.482679302,55.65358593,6.937753721
13-Jan,0.454374165,39.51816958,5.528936743
13-Feb,0.396423256,35.27272727,7.086438152
13-Mar,0.309472266,25.24086604,4.50067659
13-Apr,0.277545334,23.74616457,4.483960948
13-May,0.240915214,24.45760431,2.211305518
13-Jun,0.197489543,22.9762901,1.083682008
13-Jul,0.206199465,25.80188679,1.229110512
13-Aug,0.198245618,21.85290148,1.226720648
13-Sep,0.253986018,31.91188811,1.34965035
13-Oct,0.375134415,39.31854839,2.268817204
13-Nov,0.448888896,39.78055556,10.71805556
13-Dec,0.609017503,56.75370121,13.41588156
14-Jan,0.449460923,40,4.730458221
14-Feb,0.409836073,37.195231,3.749627422
14-Mar,0.448717956,39.28205128,7.65317139
14-Apr,0.33155681,26.76718093,2.063113604
14-May,0.229475106,20.94212651,1.292059219
14-Jun,0.200698328,22.49441341,1.346368715
14-Jul,0.19065041,26.17073171,1.575880759
14-Aug,0.201886796,23.14016173,1.588948787
14-Sep,0.228910619,34.96648045,1.984636872
14-Oct,0.254459464,40.96621622,2.359459459
14-Nov,0.348184363,42.50698324,6.976256983
14-Dec,0.54830853,61.54533153,13.58728011
15-Jan,0.544037945,66.4200542,11.00271003
15-Feb,0.363677136,36.75784753,12.94469357
15-Mar,0.373918927,41.95675676,15.09324324
15-Apr,0.270153423,32.40306834,9.10181311
15-May,0.205593455,27.68212824,6.830832196
15-Jun,0.193553012,31.37535817,7.929799427
15-Jul,0.202486192,35.03729282,7.799723757
15-Aug,0.184882112,25.00832178,7.829403606
15-Sep,0.214929582,35.56901408,7.254929577
15-Oct,0.309140524,40.61391542,8.27148704
15-Nov,0.473676885,55.17827298,12.21727019
15-Dec,0.558950207,64.06729475,15.63391655
16-Jan,0.388259675,43.17541436,10.10497238
16-Feb,0.347625906,37.3942446,7.151079137
16-Mar,0.342645081,37.43724696,7.392712551
16-Apr,0.268941511,32.09052925,6.11281337
16-May,0.233153644,31.33153639,5.110512129
16-Jun,0.194714885,30.72600834,5.877607789
16-Jul,0.17449393,29.41295547,6.215924426
16-Aug,0.172604591,27.47503374,7.08097166
16-Sep,0.220891369,43.73537604,7.902506964
16-Oct,0.308254403,46.82814614,7.311231394
16-Nov,0.469658126,48.92735043,11.93447293
16-Dec,0.618048785,65.82439024,15.5804878
17-Jan,0.528205134,54.19838057,16.39676113
17-Feb,0.408669662,44.19581465,16.29297459
17-Mar,0.338617893,43.03252033,11.5298103
17-Apr,0.268873245,29.85633803,10.41126761
17-May,0.216958281,31.44010767,9.378196501
17-Jun,0.179220782,31.61327561,8.851370851
17-Jul,0.175282489,34.97740113,5.213276836
17-Aug,0.174596778,33.43413978,5.038978495
17-Sep,0.259470757,45.97910864,5.467966574
17-Oct,0.27046071,51.74796748,4.254742547
17-Nov,0.448184364,62.67318436,15.06843575
17-Dec,0.444878712,56.43126685,15.87735849
